"Reporting starts","Reporting ends","Campaign name","Campaign delivery",Results,"Result indicator","Cost per results","Ad set budget","Ad set budget type","Amount spent (EGP)",Impressions,Reach,"Total messaging contacts","New messaging contacts",Purchases,Ends,"Attribution setting","Cost per purchase (EGP)"
2026-05-05,2026-05-16,"New Awareness campaign",inactive,2,reach,0,"Using ad set budget",0,0,2,2,,,,2026-05-19,"7-day click or 1-day view",
2026-05-05,2026-05-16,"1st campain",inactive,111939,reach,6.43395063,"Using ad set budget",0,720.21,189193,111939,2,2,1,2026-05-19,"7-day click or 1-day view",720.21
